book_id,title,price,rating,availability
ef4a6b222e2a,A Light in the Attic,£51.77,Three,In stock
f4e595877c00,Tipping the Velvet,£53.74,One,In stock
01bb1738c988,Soumission,£50.10,One,In stock
588d72f0eff0,Sharp Objects,£47.82,Four,In stock
c1386905dfd0,Sapiens: A Brief History of Humankind,£54.23,Five,In stock
941efd7a3e3d,The Requiem Red,£22.65,One,In stock
fc87e20b83f1,The Dirty Little Secrets of Getting Your Dream Job,£33.34,Four,In stock
4cc7d9dfecdd,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,Three,In stock
eb67d9711b4f,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,Four,In stock
c56742dac8ae,The Black Maria,£52.15,One,In stock
038f6da3d3ec,"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,Two,In stock
fa338d9bd3ff,Shakespeare's Sonnets,£20.66,Four,In stock
7860e5cec338,Set Me Free,£17.46,Five,In stock
c2311c75f141,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,Five,In stock
8a381d3b3cb8,Rip it Up and Start Again,£35.02,Five,In stock
2a0f22922952,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,Three,In stock
0986144e1c98,Olio,£23.88,One,In stock
4dafbbca2b05,Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,One,In stock
0b233c1a08e6,Libertarianism for Beginners,£51.33,Two,In stock
23f7ac051aad,It's Only the Himalayas,£45.17,Two,In stock
75bfab3111b9,In Her Wake,£12.84,One,In stock
ba100a8daff0,How Music Works,£37.32,Two,In stock
563e1865a546,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,Three,In stock
d5570819c041,Chase Me (Paris Nights #2),£25.27,Five,In stock
6a498b435111,Black Dust,£34.53,Five,In stock
f83e849e1ffb,Birdsong: A Story in Pictures,£54.64,Three,In stock
